yearID,teamID,lgID,playerID,G_all,GS,G_batting,G_defense,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,G_ph,G_pr
2004,SFN,NL,aardsda01,11,0,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0
2006,CHN,NL,aardsda01,45,0,43,45,45,0,0,0,0,0,0,0,0,0,0,0,0
2007,CHA,AL,aardsda01,25,0,2,25,25,0,0,0,0,0,0,0,0,0,0,0,0
2008,BOS,AL,aardsda01,47,0,5,47,47,0,0,0,0,0,0,0,0,0,0,0,0
2009,SEA,AL,aardsda01,73,0,3,73,73,0,0,0,0,0,0,0,0,0,0,0,0
2010,SEA,AL,aardsda01,53,0,4,53,53,0,0,0,0,0,0,0,0,0,0,0,0
2012,NYA,AL,aardsda01,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2013,NYN,NL,aardsda01,43,0,41,43,43,0,0,0,0,0,0,0,0,0,0,0,0
2015,ATL,NL,aardsda01,33,0,30,33,33,0,0,0,0,0,0,0,0,0,0,0,0
1954,ML1,NL,aaronha01,122,113,122,116,0,0,0,0,0,0,105,0,11,116,0,7,1
1955,ML1,NL,aaronha01,153,151,153,151,0,0,0,27,0,0,30,0,104,126,0,2,0
1956,ML1,NL,aaronha01,153,152,153,152,0,0,0,0,0,0,0,0,152,152,0,1,0
1957,ML1,NL,aaronha01,151,150,151,150,0,0,0,0,0,0,0,69,84,150,0,1,0
1958,ML1,NL,aaronha01,153,153,153,153,0,0,0,0,0,0,0,39,119,153,0,0,0
1959,ML1,NL,aaronha01,154,154,154,154,0,0,0,0,5,0,0,13,144,152,0,0,0
1960,ML1,NL,aaronha01,153,153,153,153,0,0,0,2,0,0,0,5,150,153,0,0,0
1961,ML1,NL,aaronha01,155,154,155,154,0,0,0,0,2,0,0,83,78,154,0,1,0
1962,ML1,NL,aaronha01,156,153,156,153,0,0,1,0,0,0,0,83,71,153,0,3,0
1963,ML1,NL,aaronha01,161,161,161,161,0,0,0,0,0,0,0,0,161,161,0,0,0
1964,ML1,NL,aaronha01,145,142,145,143,0,0,0,11,0,0,0,0,139,139,0,2,0
1965,ML1,NL,aaronha01,150,148,150,148,0,0,0,0,0,0,0,0,148,148,0,2,0
1966,ATL,NL,aaronha01,158,157,158,158,0,0,0,2,0,0,0,5,158,158,0,1,0
1967,ATL,NL,aaronha01,155,152,155,152,0,0,0,1,0,0,0,11,142,152,0,3,0
1968,ATL,NL,aaronha01,160,157,160,157,0,0,14,0,0,0,0,0,151,151,0,3,0
1969,ATL,NL,aaronha01,147,145,147,145,0,0,4,0,0,0,0,0,144,144,0,2,0
1970,ATL,NL,aaronha01,150,135,150,136,0,0,11,0,0,0,0,0,125,125,0,15,0
1971,ATL,NL,aaronha01,139,129,139,129,0,0,71,0,0,0,0,0,60,60,0,10,0
1972,ATL,NL,aaronha01,129,121,129,122,0,0,109,0,0,0,0,0,15,15,0,8,0
1973,ATL,NL,aaronha01,120,105,120,105,0,0,0,0,0,0,87,0,18,105,0,15,0
1974,ATL,NL,aaronha01,112,89,112,89,0,0,0,0,0,0,89,0,0,89,0,23,0
1975,ML4,AL,aaronha01,137,129,137,3,0,0,0,0,0,0,3,0,0,3,127,8,0
1976,ML4,AL,aaronha01,85,70,85,1,0,0,0,0,0,0,1,0,0,1,74,15,0
1962,ML1,NL,aaronto01,141,74,141,130,0,0,110,1,1,0,41,0,0,41,0,13,26
1963,ML1,NL,aaronto01,72,28,72,57,0,0,45,6,1,0,14,1,0,14,0,19,1
1965,ML1,NL,aaronto01,8,4,8,6,0,0,6,0,0,0,0,0,0,0,0,3,0
1968,ATL,NL,aaronto01,98,70,98,84,0,0,28,0,1,0,62,0,0,62,0,18,1
1969,ATL,NL,aaronto01,49,8,49,24,0,0,16,0,0,0,8,0,0,8,0,24,3
1970,ATL,NL,aaronto01,44,12,44,27,0,0,16,0,0,0,10,0,2,12,0,17,4
1971,ATL,NL,aaronto01,25,10,25,18,0,0,11,0,7,0,0,0,0,0,0,8,0
1977,BOS,AL,aasedo01,13,13,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0
1978,CAL,AL,aasedo01,29,29,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0
1979,CAL,AL,aasedo01,37,28,0,37,37,0,0,0,0,0,0,0,0,0,0,0,0
1980,CAL,AL,aasedo01,40,21,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0
1981,CAL,AL,aasedo01,39,0,0,39,39,0,0,0,0,0,0,0,0,0,0,0,0
1982,CAL,AL,aasedo01,24,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0
1984,CAL,AL,aasedo01,23,0,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0
1985,BAL,AL,aasedo01,54,0,0,54,54,0,0,0,0,0,0,0,0,0,0,0,0
1986,BAL,AL,aasedo01,66,0,0,66,66,0,0,0,0,0,0,0,0,0,0,0,0
1987,BAL,AL,aasedo01,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0
1988,BAL,AL,aasedo01,35,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0
1989,NYN,NL,aasedo01,49,0,49,49,49,0,0,0,0,0,0,0,0,0,0,0,0
1990,LAN,NL,aasedo01,32,0,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0
2001,OAK,AL,abadan01,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
2003,BOS,AL,abadan01,9,4,9,8,0,0,7,0,0,0,0,0,1,1,0,1,1
2006,CIN,NL,abadan01,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2010,HOU,NL,abadfe01,22,0,22,22,22,0,0,0,0,0,0,0,0,0,0,0,0
2011,HOU,NL,abadfe01,29,0,28,29,29,0,0,0,0,0,0,0,0,0,0,0,0
2012,HOU,NL,abadfe01,37,6,36,37,37,0,0,0,0,0,0,0,0,0,0,0,0
2013,WAS,NL,abadfe01,39,0,34,39,39,0,0,0,0,0,0,0,0,0,0,0,0
2014,OAK,AL,abadfe01,69,0,7,69,69,0,0,0,0,0,0,0,0,0,0,0,0
2015,OAK,AL,abadfe01,62,0,4,62,62,0,0,0,0,0,0,0,0,0,0,0,0
2016,BOS,AL,abadfe01,18,0,2,18,18,0,0,0,0,0,0,0,0,0,0,0,0
2016,MIN,AL,abadfe01,39,0,2,39,39,0,0,0,0,0,0,0,0,0,0,0,0
2017,BOS,AL,abadfe01,48,0,4,48,48,0,0,0,0,0,0,0,0,0,0,0,0
1875,BR2,NA,abadijo01,1,,1,,0,0,1,0,0,0,0,0,0,0,0,,
1875,PH3,NA,abadijo01,11,,11,,0,0,11,0,0,0,0,0,0,0,0,,
1897,PHI,NL,abbated01,3,,3,,0,0,0,3,0,0,0,0,0,0,0,,
1898,PHI,NL,abbated01,25,,25,,0,0,0,4,20,0,0,0,1,1,0,,
1903,BSN,NL,abbated01,136,,136,136,0,0,0,116,0,17,0,0,0,0,,,
1904,BSN,NL,abbated01,154,,154,154,0,0,0,0,0,154,0,0,0,0,,,
1905,BSN,NL,abbated01,153,,153,153,0,0,0,0,0,152,0,1,0,1,,,
1907,PIT,NL,abbated01,147,,147,147,0,0,0,147,0,0,0,0,0,0,,,
1908,PIT,NL,abbated01,146,,146,146,0,0,0,144,0,0,0,0,0,0,,,
1909,PIT,NL,abbated01,36,,36,36,0,0,0,4,0,18,0,1,0,1,,,
1910,BSN,NL,abbated01,52,,52,52,0,0,0,1,0,46,0,0,0,0,,,
1910,PIT,NL,abbated01,3,,3,3,0,0,0,0,0,1,0,0,0,0,,,
1892,WAS,NL,abbeybe01,27,,27,,27,0,0,0,0,0,0,0,0,0,0,,
1893,CHN,NL,abbeybe01,7,,7,,7,0,0,0,0,0,0,0,0,0,0,,
1894,CHN,NL,abbeybe01,11,,11,,11,0,0,0,0,0,0,0,0,0,0,,
1895,BRO,NL,abbeybe01,8,,8,,8,0,0,0,0,0,0,0,0,0,0,,
1895,CHN,NL,abbeybe01,1,,1,,1,0,0,0,0,0,0,0,0,0,0,,
1896,BRO,NL,abbeybe01,25,,25,,25,0,0,0,0,0,0,0,0,0,0,,
1893,WAS,NL,abbeych01,31,,31,,0,0,0,0,0,0,31,0,0,31,0,,
